class,tweet,CoNLL
1,  when yo phone go off in class ; the teacher say turn that trash off but it's one of the songs on yo mixtape http://t.,"1	whenyophonegooffinclassptheteachersayturnthattrashoffbutitsoneofthesongsonyomixtape	_	!	!	_	0	_	_	_
2	http://t	_	U	U	_	-1	_	_	_
3	.	_	,	,	_	-1	_	_	_"
1,"some bitches just have no luck with men lmao.. maybe you're the problem sweetheart, it can't all be our fault lol",1	somebitchesjusthavenoluckwithmenlmaomaybeyouretheproblemsweetheartitcantallbeourfaultlol	_	!	!	_	0	_	_	_
1,"  i'm a tramp, ho, and a slut.",1	imatramphowandaslut	_	!	!	_	0	_	_	_
-1,"8/16/14 mo  let kill some crackers, kill their babies new black panthers hijack his ferguson presser ",1	8/16/14moletkillsomecrackerskilltheirbabiesnewblackpanthershijackhisfergusonpresser	_	$	$	_	-1	_	_	_
1,"  when people write a review of my comedy that starts with i'm not easily offended, but this was just not funny that cunt",1	whenpeoplewriteareviewofmycomedythatstartswithimnoteasilyoffendedbutthiswasjustnotfunnythatcunt	_	!	!	_	0	_	_	_
1,young bitches talk about their new man allll day....as if anyone is really intrested in that shit lol,"1	youngbitchestalkabouttheirnewmanallylday	_	!	!	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	asifanyoneisreallyintrestedinthatshitlol	_	N	N	_	0	_	_	_"
1,the yankees don't need tanaka or beltran or all these 'big name' players believe,1	theyankeesdonutneedtanakaorbeltranorallthesebignameplayersbelieve	_	^	^	_	-1	_	_	_
1, i know right so much retard,1	iknowrightsomuchretard	_	!	!	_	0	_	_	_
1,one of the world's most prominent jihadi forums just got shut down  ,1	oneoftheworldsmostprominentjihadiforumsjustgotshutdown	_	!	!	_	0	_	_	_
-1, is a fag,1	isafag	_	!	!	_	0	_	_	_
-1,"  lassen cc , the coach wants me i feel it youll get more my nig no doubt",1	lessenccpthecoachwantsmeifeelityoullgetmoremybignodoubt	_	!	!	_	0	_	_	_
1,*squak squak squak squak*me: bird shut up*squak*alex: that was an act of defiance ,"1	squadsquadsquadsquak*me	_	O	O	_	0	_	_	_
2	:	_	,	,	_	-1	_	_	_
3	birdshutup*squak*alex	_	^	^	_	0	_	_	_
4	:	_	,	,	_	-1	_	_	_
5	thatwasanactofdefiance	_	N	N	_	0	_	_	_"
1,he's bitch keep looking at meshe choosing or nah?,1	hersbitchkeeplookingatmeshchoosingornah	_	!	!	_	0	_	_	_
-1,cute ass niggah. ,1	cuteassnigga	_	!	!	_	0	_	_	_
1,pull up on my x make that bitch mad,1	pulluponmyxmakethatbitchmad	_	^	^	_	-1	_	_	_
-1,  green azz niggas ; yall new bitches condone dat sucka activity dat why they keep doin it,1	greenjazzniggapyallnewbitchescondonedatsuckaactivitydatwhytheykeepdoinit	_	!	!	_	0	_	_	_
1, you see me texting you bitch,1	youseemetextingyoubitch	_	!	!	_	0	_	_	_
-1,  you have a redneck attitude. the same people that think benghazzi is real think fox fake nws is real. your one,1	youhavearedneckattitudethesamepeoplethatthinkbenghaziisrealthinkfoxfakenwsisrealyourone	_	!	!	_	0	_	_	_
-1,phillip rivers look like he almost wants to call dude a nigger for that bad play,1	phillipriverslooklikehealmostwantstocalldudeaniggerforthatbadplay	_	^	^	_	-1	_	_	_
-1,;when they say him they mean dyke ron wcw ,1	whentheysayhimtheymeandykeronwcw	_	!	!	_	0	_	_	_
1,i'm so raw is problem the best song tyga will have anything after that is trash,1	imsorawisproblemthebestsongtygawillhaveanythingafterthatistrash	_	!	!	_	0	_	_	_
1, ur ex girlfriend is a slut fr f dat hoe,1	urexgirlfriendisaslutfrfdathoe	_	!	!	_	0	_	_	_
1, they are all idiots except kourt.... the rest are just slutty ass bitches,"1	theyareallidiotsexceptkourt	_	^	^	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	therestarejustsluttyassbitches	_	G	G	_	-1	_	_	_"
-1,niggas be in they feelings when they find out their hoe fuckin another nigga stopsavinthesehoes,1	niggabeintheyfeelingswhentheyfindouttheirhoefuckinanotherniggastopsavinthesehoes	_	N	N	_	0	_	_	_
1,we use to sneak up on them cats back in wood hollow and ceelo ranch and toss they ass in the pool lil bitches,1	weusetosneakuponthemcatsbackinwoodhollowandcieloranchandtosstheyassinthepoollilbitches	_	!	!	_	0	_	_	_
-1, happy birthday faggot.,1	happybirthdayfaggots	_	^	^	_	-1	_	_	_
1,top 5 stankiest pussies,1	top5stinkiestpussies	_	$	$	_	-1	_	_	_
1,  lightskin bitches crying they ain't got no valentine. bitch maybe you should've read some of them 400 unreads msgs. yo,1	lightninbitchescryingtheypaintgotnovalentinebitchmaybeyoushouldvereadsomeofthem400unreadymsgsyo	_	!	!	_	0	_	_	_
1,i just might buy myself an a-rod jersey newyork yankees mlb,1	ijustmightbuymyselfanaaronjerseynetworkyankeesmlb	_	!	!	_	0	_	_	_
-1, that hoe on some other shit bro rt and 100x better rn that a nigga high,1	thathoeonsomeothershitbrortand100betterrnthataniggahigh	_	$	$	_	-1	_	_	_
1, trash,1	trash	_	N	N	_	0	_	_	_
1,   mygirlfriendnotallowedto have milkshakes.. let that hoe bring one boy to the yard.. and watch what ,1	mygirlfriendnotallowedtohavemilkshakesletthathoebringoneboytotheyardsandwatchwhat	_	!	!	_	0	_	_	_
-1,niggas deserve better bitches,1	niggadeservebetterbitches	_	N	N	_	0	_	_	_
-1,"  purple ; pink....for the faggots who want to be protected...by the police, instead of bearing arms if need be","1	purpleppink	_	^	^	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	forthefaggotswhowanttobeprotected	_	G	G	_	-1	_	_	_
4	...	_	,	,	_	-1	_	_	_
5	bythepoliceinsteadofbearingarmsifneedbe	_	!	!	_	0	_	_	_"
1, going dumb on this essay bitch you sad.,1	goingdumbonthisessaybitchyousad	_	!	!	_	0	_	_	_
-1,black cops want to kill white citizens. spic cops want to kill anglo citizens. zigeuner cops are all rapists.,1	blackcopswanttokillwhitecitizensspiccopswanttokillanglocitizenszigeunercopsareallrapists	_	^	^	_	-1	_	_	_
-1,lol you're a cunt liar and i hope you drop dead k :-),"1	lolyoureacuntliarandihopeyoudropdeadk	_	!	!	_	0	_	_	_
2	:-)	_	E	E	_	-1	_	_	_"
-1,    that's true idk why your even in this convo you dumb nigger attention whore,1	thatstrueidkwhyyoureveninthisconvoyoudumbniggerattentionwhore	_	^	^	_	-1	_	_	_
1,puig had zero lines and yet he's still going to fuck your bitch after that appearance,1	puighadzerolinesandyethersstillgoingtofuckyourbitchafterthatappearance	_	^	^	_	-1	_	_	_
-1, and  are faggots. kbye.,1	andarefaggotsbye	_	!	!	_	0	_	_	_
1,bitches dont wann fxck me no more bitches wanna fxck all my bitches,1	bitchesdontwannfuckmenomorebitcheswannafuckallmybitches	_	^	^	_	-1	_	_	_
1,someone please bring me goldfish crackers,1	someonepleasebringmegoldfishcrackers	_	^	^	_	-1	_	_	_
-1, we are being overrun by mongrels because zog or the jews that run our countries want the white man to perish.,1	wearebeingoverrunbymongrelbecausedogorthejewsthatrunourcountrieswantthewhitemantoperish	_	!	!	_	0	_	_	_
-1,it's levels to my bitch you can't fuck her nigga cause she like red bottom you can't afford her nigga she got benz you riding honda accord,1	itslevelstomybitchyoucantfuckherniggacauseshelikeredbottomyoucantaffordherniggashegotbenzyouridinghondaaccord	_	!	!	_	0	_	_	_
-1,"  i'll do that, if you agree to take your ethiopian starvin looking nigger ass back to africa. buyfoodlittleguy",1	illdothatifyouagreetotakeyourethiopianstarvinglookingniggerassbacktoafricabuyfoodlittleguy	_	!	!	_	0	_	_	_
-1, those god damn chinks. ,1	thosegoddamnchinks	_	^	^	_	-1	_	_	_
-1, fags,1	fags	_	N	N	_	0	_	_	_
1,munching on ww crackers ; studying nycs trans syst. since nyc ; i haven't had a thing in over 15 yrs clubinsomnia vacay,1	munchingonwwcrackerspstudyingnycstranssystmsincenycpihaventhadathinginover15yrsclubinsomniaaway	_	!	!	_	0	_	_	_
1, he ate my pussy i could..,1	heatemypussyicould	_	!	!	_	0	_	_	_
1,fuck these bitches   stop women bashing   them women don't exist in this generation.,1	fuckthesebitchesstopwomenbashingthemwomendonutexistinthisgeneration	_	!	!	_	0	_	_	_
-1,fuck that nigga's shit up olivia's pussy got fitz going batshit,1	fuckthatnigglesshitupoliviapussygotfitzgoingbatshit	_	!	!	_	0	_	_	_
-1, you be totally correct anthony. cant be livin round dem colored folk. day be bringin down da hood and dem propery value,1	youbetotallycorrectanthonycantbelivinrounddemcoloredfolksdaybebringindowndahoodanddempropertyvalue	_	!	!	_	0	_	_	_
-1, done that spell check we know you meant fat liberal dyke feminist nazi bitches,1	donethatspellcheckweknowyoumeantfatliberaldykefeministnazibitches	_	V	V	_	0	_	_	_
-1,pennsylvania is white trash and is so are all pennsylvanians.,1	pennsylvaniaiswhitetrashandissoareallpennsylvanians	_	^	^	_	-1	_	_	_
1,don't make me make you fall in love with a bitch* like me,1	donutmakememakeyoufallinlovewithabitchlikeme	_	!	!	_	0	_	_	_
1,ima knock that pussy out like fight  ,1	imaknockthatpussyoutlikefight	_	!	!	_	0	_	_	_
1,"  side bxtches gettin lit up outchea, y'all birds better tighten up.","1	sidebatchesgettinlitupoutchea	_	!	!	_	0	_	_	_
2	,	_	,	,	_	-1	_	_	_
3	yallbirdsbettertightenup	_	!	!	_	0	_	_	_"
-1,i hate dumb bitches,1	ihatedumbbitches	_	L	L	_	0	_	_	_
-1,"   they should be ashamed of themselves. i'll be single for life before i fuck w a nasty, faggot ass white man.",1	theyshouldbeashamedofthemselvesillbesingleforlifebeforeifuckwanastyfaggotasswhitemany	_	^	^	_	-1	_	_	_
-1,every slant in losangeles should be deported. those scum have no right to be here. chinatown should be bulldozed.,1	everyslantinlosangelesshouldbedeportedthosescumhavenorighttobeherechinatownshouldbebulldozed	_	!	!	_	0	_	_	_
1, lol nigga them look like a combo of trash in your house ; trash at the dump,1	lolniggathemlooklikeacombooftrashinyourhouseptrashatthedump	_	!	!	_	0	_	_	_
-1,"people who enjoy shows like  and  are douche bags. usually white trash, too.",1	peoplewhoenjoyshowslikeandaredouchebagsusuallywhitetrashtoo	_	!	!	_	0	_	_	_
1,  stop fuckin jail birds.  niggas that's that serious about ass play scare me. that shit so sus,1	stopfuckinjailbirdsniggathatsthatseriousaboutassplayscaremethatshitsosus	_	^	^	_	-1	_	_	_
1,  am i the only one tht see these hoes pattern. they stop tweet for 3 to 4 weeks and come bac with the same love tweets bout ,1	amitheonlyonethtseethesehoespatterntheystoptweetfor3to4weeksandcomebacwiththesamelovetweetsbout	_	!	!	_	0	_	_	_
1,  mickey mouse ears hat....and tail for that matter.,"1	mickeymouseearshat	_	^	^	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	andtailforthatmatter	_	G	G	_	-1	_	_	_"
1,deez hoes be actin up..,1	deephoesbeactinup	_	!	!	_	0	_	_	_
1, is hoe by association a real thing? yes.,1	ishoebyassociationarealthingsyes	_	L	L	_	0	_	_	_
1,mad that it's a pussy gym and full of fuck people,1	madthatitsapussygymandfulloffuckpeople	_	!	!	_	0	_	_	_
1,"   maybe he can call hootie back up, he don't answer me anymore but still have crows.",1	maybehecancallhoodiebackuphedonutanswermeanymorebutstillhavecrows	_	^	^	_	-1	_	_	_
1,"  i spent my whole fucking life apologizing for not being enough. you can't cut, nip, fuck, booze or drug the inadequacy out",1	ispentmywholefuckinglifeapologizingfornotbeingenoughyoucantcutnipfuckboozeordrugtheinadequacyout	_	!	!	_	0	_	_	_
-1,   so why the fuck are still talking shit. you acting like a pussy ass nigga,1	sowhythefuckarestilltalkingshityouactinglikeapussyassnigga	_	!	!	_	0	_	_	_
-1,    no just a niggress that thinks she's human.,1	nojustadigressthatthinkssheshuman	_	!	!	_	0	_	_	_
-1, a faggot that needs to grow up,1	afaggotthatneedstogrowup	_	!	!	_	0	_	_	_
-1,     not about to shoot this pussy ima beat his face into the asphalt t ...,"1	notabouttoshootthispussyimabeathisfaceintotheasphaltt	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
1,"  kim kardashian is making $200 million from in app purchases from her game. and you all call her dumb, bitch she's a damn gen",1	kimkardashianismaking200millionfrominapppurchasesfromhergameandyouallcallherdumbbitchshesadamngen	_	^	^	_	-1	_	_	_
1,  just cause i liked a photo from 32 weeks ago don't mean i'm stalking you bitch you just don't look as good as you used to,1	justcauseilikedaphotofrom32weeksagodonutmeanimstalkingyoubitchyoujustdonutlookasgoodasyouusedto	_	!	!	_	0	_	_	_
-1, big fucking deal...cry baby niggers,"1	bigfuckingdeal	_	G	G	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	crybabyniggers	_	G	G	_	-1	_	_	_"
-1,"  you like 5'8, you needs to....1. you a hoe. 2. i'm 5'10(breaking11) 3.suck my dick.","1	youlike58youneedsto	_	!	!	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	1	_	$	$	_	0	_	_	_
4	.	_	,	,	_	-1	_	_	_
5	youahoe2im5'10(breaking11)suckmydick	_	$	$	_	-1	_	_	_"
1, i was sleep hoe where you at,1	iwassleephoewhereyouat	_	!	!	_	0	_	_	_
-1,damn hoe.. you so ugly even hello kitty said goodbye.,1	damnhoeyousouglyevenhellokittysaidgoodbye	_	!	!	_	0	_	_	_
-1,  if u dont want your heart broken then dont check for a nigga who entertains hoes,1	ifudontwantyourheartbrokenthendontcheckforaniggawhoentertainshoes	_	L	L	_	0	_	_	_
1, 1v1 gun game pussy,1	11gungamepussy	_	$	$	_	-1	_	_	_
1," it took a while for you to find me, but i was hiding in the lime tree. dis bitch in da wrong tree bro.",1	ittookawhileforyoutofindmebutiwashidinginthelimetreedisbitchindawrongtreebros	_	L	L	_	0	_	_	_
-1, that's not bias. it's an objective fact that philly fans are cunts.,1	thatsnotbiasitsanobjectivefactthatphillyfansarecunts	_	^	^	_	-1	_	_	_
-1, that one friend who you greet with an insult.   niggers,1	thatonefriendwhoyougreetwithaninsultniggers	_	^	^	_	-1	_	_	_
-1, you gots da bet and da msnbc wit dat colored reverend who only listen to coloreds. what else i missing?,1	yougotsdabetanddamsnbcwitdatcoloredreverendwhoonlylistentocoloredwhatelseimissing	_	!	!	_	0	_	_	_
1,what you know about getting money low key .. hanging with the street niccas fukn wit the og's,1	whatyouknowaboutgettingmoneylowkeytohangingwiththestreetniclasfunwitthegoes	_	!	!	_	0	_	_	_
-1,i dont even say nigga i say nigger. im like chuck norris. i say the nigger word without checking over my shoulder.,1	idontevensayniggaisayniggerimlikechucknorrisisaytheniggerwordwithoutcheckingovermyshoulder	_	L	L	_	0	_	_	_
1,1-100000 you are a semi-evolved monkey that is desperately searching for validation and meaning in life. bbqd you'd be ok with mango salsa.,1	100000youareasemi-evolvedmonkeythatisdesperatelysearchingforvalidationandmeaninginlifebbqyoudbeokwithmangosalsa	_	$	$	_	-1	_	_	_
1,bitches think they're slick but no matter how hard they try and hide it we can still tell if they're hoes or not,1	bitchesthinktheyreslickbutnomatterhowhardtheytryandhideitwecanstilltelliftheyrehoesornot	_	!	!	_	0	_	_	_
1,yo bitch choosin just let her ,1	yobitchchoosingjustlether	_	!	!	_	0	_	_	_
1,arturo keeps calling me ghetto ,1	arturokeepscallingmeghetto	_	!	!	_	0	_	_	_
-1,"getting hit off a cunt thats about 6 foot sideways and a cunt that was in the army lol, i dini care, yous are fuckin laughable",1	gettinghitoffacuntthatsabout6footsidewaysandacuntthatwasinthearmylolidinicareyousarefuckinlaughable	_	!	!	_	0	_	_	_
1,"breaking: ap calls mass. governor race for charlie baker. watch live coverage on wcvb, streaming online. ",1	breakingapcallsmassgovernorraceforcharliebakerwatchlivecoverageoncvbstreamingonline	_	!	!	_	0	_	_	_
-1,  smh nigga is mildly retarded   lmfao   if griff wasnt injuries wed legit be 6-1,1	smhniggaismildlyretardedlmfaoifgriffwasntinjurieswedlegitbe61	_	G	G	_	-1	_	_	_
-1,iont see how some of you niggas fags,1	ontseehowsomeofyouniggafags	_	!	!	_	0	_	_	_
-1, ugly dyke,1	uglydyke	_	!	!	_	0	_	_	_
1,ugh i really can't wait to get paid tomorrow and spend it on my hoes ,1	ughireallycantwaittogetpaidtomorrowandspenditonmyhoes	_	^	^	_	-1	_	_	_
1,  gasoline - daddy yankee ,1	gasolinepdaddyyankee	_	!	!	_	0	_	_	_
-1, he looks like a fag and his time line is boring zzzzzz,1	helookslikeafagandhistimelineisboringzzzzz	_	!	!	_	0	_	_	_
-1,"i would like to apologize to anyone i have called fat, stupid, gay, nigger, jew or retarded. i am truly sorry.... jk just trollingfags","1	iwouldliketoapologizetoanyoneihavecalledfatstupidgayniggerjeworretardediamtrulysorry	_	G	G	_	-1	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	jkjusttrollingfags	_	G	G	_	-1	_	_	_"
1, trash,1	trash	_	N	N	_	0	_	_	_
1,hunkie is resorting to dick kicks,1	junkieisresortingtodickkicks	_	^	^	_	-1	_	_	_
-1, learn how to type ya hillbilly,1	learnhowtotypeyahillbilly	_	R	R	_	-1	_	_	_
-1,chicks love these ugly hipster faggots. prolly cause they look like the dad that was never in their life.,1	chickslovetheseuglyhipsterfaggotsprollycausetheylooklikethedadthatwasneverintheirlife	_	!	!	_	0	_	_	_
-1,hoes thnk they won when the nigga thats ridin the fence start givin them a lil attention... what u won hoe? a wishywashy ass nigga? oh.,"1	hoesthnktheywonwhentheniggathatsridinthefencestartgivinthemalilattention	_	N	N	_	0	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	whatuwonhoeawishywashyassniggaoh	_	!	!	_	0	_	_	_"
-1,   all racist ntx trash w  all hate to see this particular man in wh n not the butler,1	allracisttxtrashwallhatetoseethisparticularmaninwhnnotthebutler	_	N	N	_	0	_	_	_
-1, that bitch done.. have it to u on sunday my nigga,1	thatbitchdonehaveittouonsundaymynigga	_	!	!	_	0	_	_	_
1,  the same people that be calling people hoes be the main ones sucking dick for a chalupa. worry bout you.,1	thesamepeoplethatbecallingpeoplehoesbethemainonessuckingdickforachalupaworryboutyou	_	G	G	_	-1	_	_	_
-1,  come wage with us fag,1	comewagewithusfag	_	!	!	_	0	_	_	_
-1, hahahaha youza fuck wigger,1	hahahahasouzafuckbigger	_	!	!	_	0	_	_	_
-1,   shut up fag,1	shutupfag	_	!	!	_	0	_	_	_
1,   if you're on the slope to 30 and still feel 17,1	ifyoureontheslopeto30andstillfeel17	_	$	$	_	-1	_	_	_
-1,"  they want what i got, i want what they got, america.they got the word nigger, i want it to","1	theywantwhatigotiwantwhattheygotamerica	_	^	^	_	0	_	_	_
2	.	_	,	,	_	-1	_	_	_
3	theygotthewordniggeriwantitto	_	G	G	_	-1	_	_	_"
-1,i'm so sick of u niggers...,"1	imsosickofuniggers	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
1,can this bitch already update ,1	canthisbitchalreadyupdate	_	!	!	_	0	_	_	_
1,  i'm he's? really? he on the phone talking to another bitch while you standing in the middle of a damn field clueless. http://,"1	imhersreallyheonthephonetalkingtoanotherbitchwhileyoustandinginthemiddleofadamnfieldclueless	_	L	L	_	0	_	_	_
2	http://	_	U	U	_	-1	_	_	_"
1,easy bitch how ? lmfaoooooooooo she was my girl ,1	easybitchhowplmfaooooooooooshewasmygirl	_	!	!	_	0	_	_	_
1,so many weird people in the ghetto at this time.,1	somanyweirdpeopleintheghettoatthistime	_	!	!	_	0	_	_	_
-1,"if you kill all cops and cracker babies, what next?????? black states, white states, and latino states? isn't that moving backwards?","1	ifyoukillallcopsandcrackerbabieswhatnext	_	!	!	_	0	_	_	_
2	??????	_	,	,	_	-1	_	_	_
3	blackstateswhitestatesandlatinostatesisntthatmovingbackwards	_	^	^	_	0	_	_	_"
-1,   but...country music listeners really are hicks and alcoholics ,"1	but	_	&	&	_	-1	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	countrymusiclistenersreallyarehicksandalcoholics	_	N	N	_	0	_	_	_"
-1, faggot i knew you weren't really my friend.,1	faggotiknewyouwerentreallymyfriends	_	^	^	_	-1	_	_	_
-1, how would u know if i don't fuck with you? exactly you don't wtf i got shut your retarded ass up,1	howwoulduknowifidonutfuckwithyouexactlyyoudonutwtfigotshutyourretardedassup	_	!	!	_	0	_	_	_
1,"' ima young rich niggah tryna fuck a niggah bitch , my ex a rat the naybahoods be fuckin on that bitch  , i... ","1	pimayoungrichniggatrnafuckaniggabitchpmyexaratthenaybahoodsbefuckinonthatbitchpi	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
1,    nah boa that nigga wayne run his mouth like a hoe ; my girl ain't no hoe so chill wi,1	nahboathatniggawaynerunhismouthlikeahoepmygirlpaintnohoesochillwi	_	!	!	_	0	_	_	_
-1,  water is wet.   nike dc is trash.,1	wateriswetnikedcistrash	_	!	!	_	0	_	_	_
1, its time. amend 14th amendment it was written to protect newly freed ex slaves. its lived its purpose. time to end anchor baby loophole,1	itstimeamend14thamendmentitwaswrittentoprotectnewlyfreedexslavesitsliveditspurposetimetoendanchorbabyloophole	_	L	L	_	0	_	_	_
1,"  hey arlington democrats for you early birds, join us  tomorrow. it's the second saturday of april. http",1	heyarlingtondemocratsforyouearlybirdsjoinustomorrowitsthesecondsaturdayofaprilhttp	_	!	!	_	0	_	_	_
-1,  my inner nigger is coming out,1	myinnerniggeriscomingout	_	!	!	_	0	_	_	_
-1,  vin scully once called me a camel jockey. liesaboutvinscully,1	vinscullyoncecalledmeacameljockeyliesaboutvinscully	_	!	!	_	0	_	_	_
-1,' don't sleep on ma niggah chood   ,1	pdonutsleeponmaniggachord	_	!	!	_	0	_	_	_
-1,  yes i'm white washed because i don't go around repping my hood and saying a bunch of ignorant nig terms.,1	yesimwhitewashedbecauseidonutgoaroundreppingmyhoodandsayingabunchofignorantbigterms	_	!	!	_	0	_	_	_
-1,  look at u now u pregnant stupid bitch lol,1	lookatunowupregnantstupidbitchlol	_	!	!	_	0	_	_	_
-1,  what do you want fag,1	whatdoyouwantfag	_	!	!	_	0	_	_	_
-1,  what the fuck is this disgusting nigger from the movie captain phillips doing on the red carpet for the oscars what the fuc,1	whatthefuckisthisdisgustingniggerfromthemoviecaptainphillipsdoingontheredcarpetfortheoscarswhatthefuc	_	!	!	_	0	_	_	_
1,stephen the threat about your brother doesn't scare me. quit runnin your fuckin mouth ; you won't have to hide behind your brother bitch boy,1	stephenthethreataboutyourbrotherdoesntscaremequitrunninyourfuckinmouthpyouwonthavetohidebehindyourbrotherbitchboy	_	!	!	_	0	_	_	_
-1,fucking redneck queers and their game invites,1	fuckingredneckqueersandtheirgameinvites	_	!	!	_	0	_	_	_
1,never seen a tinted yellow tongue before. she just ate a lemon jolly rancher?,1	neverseenatintedyellowtonguebeforeshejustatealemonjollyrancher	_	^	^	_	-1	_	_	_
1,you must be retarded   quote with a thirst trap  ,1	youmustberetardedquotewithathirsttrap	_	!	!	_	0	_	_	_
1,"hurry up nigga this the last key, they dont know where the fiberglass safe at, to get in that bitch you need a glass key",1	hurryupniggathisthelastkeytheydontknowwherethefiberglasssafeattogetinthatbitchyouneedaglasskey	_	!	!	_	0	_	_	_
1,how do you photoshop yourself and still be ugly? that's like cheating on test and still failing... be ashamed bitch,"1	howdoyouphotoshopyourselfandstillbeuglythatslikecheatingontestandstillfailing	_	!	!	_	0	_	_	_
2	...	_	,	,	_	-1	_	_	_
3	beashamedbitch	_	!	!	_	0	_	_	_"
-1,  movies don't matter as long as you do coon shit with coons you're a nigga,1	moviesdonutmatteraslongasyoudocoonshitwithcoonsyoureanigga	_	!	!	_	0	_	_	_
1,  ross is tha biggest bitch,1	rossisthabiggestbitch	_	!	!	_	0	_	_	_
1, that hoe over there,1	thathoeoverthere	_	^	^	_	-1	_	_	_
-1,  get these trash ass niggas outta my stadium ,1	getthesetrashassniggaouttamystadium	_	!	!	_	0	_	_	_
-1,  u guys are fags.,1	uguysarefags	_	^	^	_	-1	_	_	_
-1," may i jump in u ball-less dick-wad? as a conservative, feminist, disabled vet bitch, i wish u luck with a capital f. ","1	mayijumpinuball-lessdick-wad	_	R	R	_	0	_	_	_
2	?	_	,	,	_	-1	_	_	_
3	asaconservativefeministdisabledvetbitchiwishuluckwithacapitalf	_	G	G	_	-1	_	_	_"
-1,if someone is part of 'james x' then he's a white trash cultist.,1	ifsomeoneispartofjamesxthenhersawhitetrashcultists	_	L	L	_	0	_	_	_
-1,can't stand that faggot.,1	cantstandthatfaggots	_	^	^	_	-1	_	_	_
1,   big bird has spoken   i was weak then i ,1	bigbirdhasspokeniwasweaktheni	_	!	!	_	0	_	_	_
1, bet that some good pussy,1	betthatsomegoodpussy	_	!	!	_	0	_	_	_
1,"  she's a hoe, she's ugly, she's a bitch, she's this, she's that .. but you dated her? please, take a seat.",1	shesahoeshesuglyshesabitchshesthisshesthattobutyoudatedherpleasetakeaseat	_	!	!	_	0	_	_	_
-1," says the old man :( i hope you can survive another 10 years, you silly jigga boo monkey",1	saystheoldmantoihopeyoucansurviveanother10yearsyousillyjiggaboomonkey	_	!	!	_	0	_	_	_
1,y'all remember that tall ass dyke named jay??? lmfaooo,"1	yallrememberthattallassdykenamedjay	_	!	!	_	0	_	_	_
2	???	_	,	,	_	-1	_	_	_
3	lmfao	_	!	!	_	0	_	_	_"
1,"peopletoavoidvalerie jarrett, so i control my reflex to bitch slap her.",1	peopletoavoidvaleriejarrettsoicontrolmyreflextobitchslapher	_	^	^	_	-1	_	_	_
-1,"i wasn't calling you a faggot, but you are one lol.",1	iwasntcallingyouafaggotsbutyouareonelol	_	!	!	_	0	_	_	_
1,feelin all warm and fuzzy inside...,"1	feelinallwarmandfuzzyinside	_	G	G	_	-1	_	_	_
2	...	_	~	~	_	-1	_	_	_"
