class,tweet,CoNLL
26	coming	_	V	V	_	25	_	_	_
27	from	_	P	P	_	26	_	_	_"
1,"   ion wanna hear it, then hoes faker than momma dee's teeth","1	ion	_	L	L	_	0	_	_	_
2	wanna	_	V	V	_	1	_	_	_
3	hear	_	V	V	_	2	_	_	_
4	it	_	O	O	_	3	_	_	_
5	,	_	,	,	_	-1	_	_	_
6	then	_	R	R	_	1	_	_	_
7	hoes	_	N	N	_	8	_	_	_
8	faker	_	N	N	_	6	_	_	_
9	than	_	P	P	_	8	_	_	_
10	momma	_	N	N	_	12	_	_	_
11	dee's	_	Z	Z	_	9	_	_	_
12	teeth	_	N	N	_	0	_	_	_"
-1,fredo was a bitch ass nigga. how niggas fire over 20 shots at his pops but he didn't get off 1 cuz he dropped the gun smh,"1	fredo	_	N	N	_	2	_	_	_
2	was	_	V	V	_	0	_	_	_
3	a	_	D	D	_	6	_	_	_
4	bitch	_	N	N	_	6	_	_	_
5	ass	_	N	N	_	6	_	_	_
6	nigga	_	N	N	_	2	_	_	_
7	.	_	,	,	_	-1	_	_	_
8	how	_	R	R	_	14	_	_	_
9	niggas	_	N	N	_	10	_	_	_
10	fire	_	N	N	_	17	CONJ	_	_
11	over	_	P	P	_	10	_	_	_
12	20	_	$	$	_	13	_	_	_
13	shots	_	N	N	_	11	_	_	_
14	at	_	P	P	_	10	_	_	_
15	his	_	D	D	_	16	_	_	_
16	pops	_	N	N	_	14	_	_	_
17	but	_	&	&	_	0	_	_	_
18	he	_	O	O	_	19	_	_	_
19	didn't	_	V	V	_	17	CONJ	_	_
20	get	_	V	V	_	19	_	_	_
21	off	_	T	T	_	20	MWE	_	_
22	1	_	$	$	_	23	_	_	_
23	cuz	_	P	P	_	20	_	_	_
24	he	_	O	O	_	25	_	_	_
25	dropped	_	V	V	_	23	_	_	_
26	the	_	D	D	_	27	_	_	_
27	gun	_	N	N	_	25	_	_	_
28	smh	_	G	G	_	-1	_	_	_"
1," yeah....but your the one who wanted followers,you gotta work it bitch","1	yeah	_	!	!	_	0	_	_	_
2	....	_	,	,	_	-1	_	_	_
3	but	_	&	&	_	0	_	_	_
4	your	_	L	L	_	3	CONJ	_	_
5	the	_	D	D	_	6	_	_	_
6	one	_	$	$	_	4	_	_	_
7	who	_	O	O	_	8	_	_	_
8	wanted	_	V	V	_	0	_	_	_
9	followers	_	N	N	_	8	_	_	_
10	,	_	,	,	_	-1	_	_	_
11	you	_	O	O	_	12	_	_	_
12	gotta	_	V	V	_	0	_	_	_
13	work	_	V	V	_	12	_	_	_
14	it	_	O	O	_	15	_	_	_
15	bitch	_	N	N	_	13	_	_	_"
1, can y'all females let this sink in for min? moment of silence to get y'all bitches thinking right? ,"1	can	_	V	V	_	0	_	_	_
2	y'all	_	O	O	_	1	_	_	_
3	females	_	N	N	_	1	_	_	_
4	let	_	V	V	_	1	_	_	_
5	this	_	O	O	_	6	_	_	_
6	sink	_	V	V	_	4	_	_	_
7	in	_	P	P	_	6	_	_	_
8	for	_	P	P	_	7	_	_	_
9	min	_	N	N	_	8	_	_	_
10	?	_	,	,	_	-1	_	_	_
11	moment	_	N	N	_	0	_	_	_
12	of	_	P	P	_	11	_	_	_
13	silence	_	N	N	_	12	_	_	_
14	to	_	P	P	_	11	_	_	_
15	get	_	V	V	_	14	_	_	_
16	y'all	_	O	O	_	15	_	_	_
17	bitches	_	N	N	_	18	_	_	_
18	thinking	_	V	V	_	15	_	_	_
19	right	_	R	R	_	18	_	_	_
20	?	_	,	,	_	-1	_	_	_"
-1, better nig. lol but if anything ill flip u the 10 or something. im tryna get some more cash,"1	better	_	A	A	_	2	_	_	_
2	nig	_	N	N	_	0	_	_	_
3	.	_	,	,	_	-1	_	_	_
4	lol	_	!	!	_	0	_	_	_
5	but	_	&	&	_	0	_	_	_
6	if	_	P	P	_	5	CONJ	_	_
7	anything	_	N	N	_	13	CONJ	_	_
8	ill	_	L	L	_	13	CONJ	_	_
9	flip	_	V	V	_	8	_	_	_
10	u	_	O	O	_	9	_	_	_
11	the	_	D	D	_	12	_	_	_
12	10	_	$	$	_	9	_	_	_
13	or	_	&	&	_	6	_	_	_
14	something	_	N	N	_	13	CONJ	_	_
15	.	_	,	,	_	-1	_	_	_
16	im	_	L	L	_	0	_	_	_
17	tryna	_	V	V	_	16	_	_	_
18	get	_	V	V	_	17	_	_	_
19	some	_	D	D	_	21	_	_	_
20	more	_	A	A	_	21	_	_	_
21	cash	_	N	N	_	18	_	_	_"
-1,  this girl comes into class with fried chicken and pulls hot sauce out of her purse i mean come on how ghetto ; stereotypi,"1	this	_	D	D	_	2	_	_	_
2	girl	_	N	N	_	9	CONJ	_	_
3	comes	_	V	V	_	9	CONJ	_	_
4	into	_	P	P	_	3	_	_	_
5	class	_	N	N	_	4	_	_	_
6	with	_	P	P	_	3	_	_	_
7	fried	_	A	A	_	8	_	_	_
8	chicken	_	N	N	_	6	_	_	_
9	and	_	&	&	_	0	_	_	_
10	pulls	_	V	V	_	9	CONJ	_	_
11	hot	_	A	A	_	12	_	_	_
12	sauce	_	N	N	_	10	_	_	_
13	out	_	P	P	_	10	_	_	_
14	of	_	P	P	_	13	_	_	_
15	her	_	D	D	_	16	_	_	_
16	purse	_	N	N	_	14	_	_	_
17	i	_	O	O	_	18	_	_	_
18	mean	_	V	V	_	0	_	_	_
19	come	_	V	V	_	18	_	_	_
20	on	_	P	P	_	19	_	_	_
21	how	_	R	R	_	20	_	_	_
22	ghetto	_	A	A	_	21	_	_	_
23	;	_	,	,	_	-1	_	_	_
24	stereotypi	_	N	N	_	0	_	_	_"
-1,"almost got to see a white boy get beat around today, but he ran like a bitch.","1	almost	_	R	R	_	2	_	_	_
2	got	_	V	V	_	0	_	_	_
3	to	_	P	P	_	2	_	_	_
4	see	_	V	V	_	3	_	_	_
5	a	_	D	D	_	7	_	_	_
6	white	_	A	A	_	7	_	_	_
7	boy	_	N	N	_	4	_	_	_
8	get	_	V	V	_	13	CONJ	_	_
9	beat	_	V	V	_	8	_	_	_
10	around	_	P	P	_	9	_	_	_
11	today	_	N	N	_	9	_	_	_
12	,	_	,	,	_	-1	_	_	_
13	but	_	&	&	_	0	_	_	_
14	he	_	O	O	_	15	_	_	_
15	ran	_	V	V	_	13	CONJ	_	_
16	like	_	P	P	_	15	_	_	_
17	a	_	D	D	_	18	_	_	_
18	bitch	_	N	N	_	16	_	_	_
19	.	_	,	,	_	-1	_	_	_"
1,"  dear everyone using natural deodorant, it's not working, you stinky bitch.","1	dear	_	!	!	_	0	_	_	_
2	everyone	_	N	N	_	3	_	_	_
3	using	_	V	V	_	0	_	_	_
4	natural	_	A	A	_	5	_	_	_
5	deodorant	_	N	N	_	3	_	_	_
6	,	_	,	,	_	-1	_	_	_
7	it's	_	L	L	_	0	_	_	_
8	not	_	R	R	_	9	_	_	_
9	working	_	V	V	_	7	_	_	_
10	,	_	,	,	_	-1	_	_	_
11	you	_	O	O	_	12	_	_	_
12	stinky	_	A	A	_	13	_	_	_
13	bitch	_	N	N	_	9	_	_	_
14	.	_	,	,	_	-1	_	_	_"
1,  when yo phone go off in class ; the teacher say turn that trash off but it's one of the songs on yo mixtape http://t.,"1	when	_	R	R	_	4	_	_	_
2	yo	_	D	D	_	3	_	_	_
3	phone	_	N	N	_	4	_	_	_
4	go	_	V	V	_	0	_	_	_
5	off	_	R	R	_	4	_	_	_
6	in	_	P	P	_	4	_	_	_
7	class	_	N	N	_	6	_	_	_
8	;	_	,	,	_	-1	_	_	_
9	the	_	D	D	_	10	_	_	_
10	teacher	_	N	N	_	11	_	_	_
11	say	_	V	V	_	16	CONJ	_	_
12	turn	_	V	V	_	11	_	_	_
13	that	_	D	D	_	14	_	_	_
14	trash	_	N	N	_	12	_	_	_
15	off	_	P	P	_	14	_	_	_
16	but	_	&	&	_	0	_	_	_
17	it's	_	L	L	_	16	CONJ	_	_
18	one	_	$	$	_	17	_	_	_
19	of	_	P	P	_	18	_	_	_
20	the	_	D	D	_	21	_	_	_
21	songs	_	N	N	_	19	_	_	_
22	on	_	P	P	_	21	_	_	_
23	yo	_	D	D	_	24	_	_	_
24	mixtape	_	N	N	_	22	_	_	_
25	http://t	_	U	U	_	-1	_	_	_
26	.	_	,	,	_	-1	_	_	_"
1,"some bitches just have no luck with men lmao.. maybe you're the problem sweetheart, it can't all be our fault lol","1	some	_	D	D	_	2	_	_	_
2	bitches	_	N	N	_	4	_	_	_
3	just	_	R	R	_	4	_	_	_
4	have	_	V	V	_	0	_	_	_
5	no	_	D	D	_	6	_	_	_
6	luck	_	N	N	_	4	_	_	_
7	with	_	P	P	_	4	_	_	_
8	men	_	N	N	_	7	_	_	_
9	lmao	_	!	!	_	0	_	_	_
10	..	_	,	,	_	-1	_	_	_
11	maybe	_	R	R	_	0	_	_	_
12	you're	_	L	L	_	11	_	_	_
13	the	_	D	D	_	15	_	_	_
14	problem	_	N	N	_	15	_	_	_
15	sweetheart	_	N	N	_	12	_	_	_
16	,	_	,	,	_	-1	_	_	_
17	it	_	O	O	_	18	_	_	_
18	can't	_	V	V	_	0	_	_	_
19	all	_	D	D	_	20	_	_	_
20	be	_	V	V	_	18	_	_	_
21	our	_	D	D	_	22	_	_	_
22	fault	_	N	N	_	20	_	_	_
23	lol	_	!	!	_	0	_	_	_"
1,"  i'm a tramp, ho, and a slut.","1	i'm	_	L	L	_	0	_	_	_
2	a	_	D	D	_	3	_	_	_
3	tramp	_	N	N	_	1	_	_	_
4	,	_	,	,	_	-1	_	_	_
5	ho	_	!	!	_	0	_	_	_
6	,	_	,	,	_	-1	_	_	_
7	and	_	&	&	_	0	_	_	_
8	a	_	D	D	_	9	_	_	_
9	slut	_	N	N	_	7	CONJ	_	_
10	.	_	,	,	_	-1	_	_	_"
-1,"8/16/14 mo  let kill some crackers, kill their babies new black panthers hijack his ferguson presser ","1	8/16/14	_	$	$	_	2	_	_	_
2	mo	_	N	N	_	3	_	_	_
3	let	_	V	V	_	0	_	_	_
4	kill	_	V	V	_	3	_	_	_
5	some	_	D	D	_	6	_	_	_
6	crackers	_	N	N	_	4	_	_	_
7	,	_	,	,	_	-1	_	_	_
8	kill	_	V	V	_	0	_	_	_
9	their	_	D	D	_	10	_	_	_
10	babies	_	N	N	_	8	_	_	_
11	new	_	A	A	_	13	_	_	_
12	black	_	A	A	_	13	_	_	_
13	panthers	_	N	N	_	8	_	_	_
14	hijack	_	V	V	_	8	_	_	_
15	his	_	D	D	_	17	_	_	_
16	ferguson	_	^	^	_	17	_	_	_
17	presser	_	N	N	_	14	_	_	_"
1,"  when people write a review of my comedy that starts with i'm not easily offended, but this was just not funny that cunt","1	when	_	R	R	_	3	_	_	_
2	people	_	N	N	_	3	_	_	_
3	write	_	V	V	_	0	_	_	_
4	a	_	D	D	_	5	_	_	_
5	review	_	N	N	_	3	_	_	_
6	of	_	P	P	_	5	_	_	_
7	my	_	D	D	_	8	_	_	_
8	comedy	_	N	N	_	6	_	_	_
9	that	_	P	P	_	3	_	_	_
10	starts	_	V	V	_	9	_	_	_
11	with	_	P	P	_	10	_	_	_
12	i'm	_	L	L	_	17	CONJ	_	_
13	not	_	R	R	_	14	_	_	_
14	easily	_	R	R	_	15	_	_	_
15	offended	_	A	A	_	12	_	_	_
16	,	_	,	,	_	-1	_	_	_
17	but	_	&	&	_	0	_	_	_
18	this	_	O	O	_	19	_	_	_
19	was	_	V	V	_	17	CONJ	_	_
20	just	_	R	R	_	22	_	_	_
21	not	_	R	R	_	22	_	_	_
22	funny	_	A	A	_	19	_	_	_
23	that	_	P	P	_	22	_	_	_
24	cunt	_	N	N	_	23	_	_	_"
1,young bitches talk about their new man allll day....as if anyone is really intrested in that shit lol,"1	young	_	A	A	_	2	_	_	_
2	bitches	_	N	N	_	3	_	_	_
3	talk	_	V	V	_	0	_	_	_
4	about	_	P	P	_	3	_	_	_
5	their	_	D	D	_	7	_	_	_
6	new	_	A	A	_	7	_	_	_
7	man	_	N	N	_	4	_	_	_
8	allll	_	D	D	_	9	_	_	_
9	day	_	N	N	_	3	_	_	_
10	....	_	,	,	_	-1	_	_	_
11	as	_	R	R	_	0	_	_	_
12	if	_	P	P	_	11	_	_	_
13	anyone	_	N	N	_	14	_	_	_
14	is	_	V	V	_	12	_	_	_
15	really	_	R	R	_	16	_	_	_
16	intrested	_	V	V	_	14	_	_	_
17	in	_	P	P	_	16	_	_	_
18	that	_	D	D	_	19	_	_	_
19	shit	_	N	N	_	17	_	_	_
20	lol	_	!	!	_	0	_	_	_"
1,the yankees don't need tanaka or beltran or all these 'big name' players believe,"1	the	_	D	D	_	2	_	_	_
2	yankees	_	^	^	_	3	_	_	_
3	don't	_	V	V	_	0	_	_	_
4	need	_	V	V	_	3	_	_	_
5	tanaka	_	^	^	_	6	CONJ	_	_
6	or	_	&	&	_	4	_	_	_
7	beltran	_	^	^	_	6	CONJ	_	_
8	or	_	&	&	_	4	_	_	_
9	all	_	X	X	_	10	_	_	_
10	these	_	D	D	_	15	_	_	_
11	'	_	,	,	_	-1	_	_	_
12	big	_	A	A	_	13	_	_	_
13	name	_	N	N	_	9	_	_	_
14	'	_	,	,	_	-1	_	_	_
15	players	_	N	N	_	16	_	_	_
16	believe	_	V	V	_	0	_	_	_"
1, i know right so much retard,"1	i	_	O	O	_	2	_	_	_
2	know	_	V	V	_	0	_	_	_
3	right	_	R	R	_	4	_	_	_
4	so	_	R	R	_	5	_	_	_
5	much	_	R	R	_	6	_	_	_
6	retard	_	N	N	_	0	_	_	_"
1,one of the world's most prominent jihadi forums just got shut down  ,"1	one	_	$	$	_	0	_	_	_
2	of	_	P	P	_	1	_	_	_
3	the	_	D	D	_	8	_	_	_
4	world's	_	S	S	_	7	_	_	_
5	most	_	R	R	_	6	_	_	_
6	prominent	_	A	A	_	8	_	_	_
7	jihadi	_	N	N	_	8	_	_	_
8	forums	_	N	N	_	2	_	_	_
9	just	_	R	R	_	10	_	_	_
10	got	_	V	V	_	0	_	_	_
11	shut	_	V	V	_	10	_	_	_
12	down	_	T	T	_	11	MWE	_	_"
-1, is a fag,"1	is	_	V	V	_	0	_	_	_
2	a	_	D	D	_	3	_	_	_
3	fag	_	N	N	_	1	_	_	_"
-1,"  lassen cc , the coach wants me i feel it youll get more my nig no doubt","1	lassen	_	^	^	_	2	_	_	_
2	cc	_	N	N	_	0	_	_	_
3	,	_	,	,	_	-1	_	_	_
4	the	_	D	D	_	5	_	_	_
5	coach	_	N	N	_	6	_	_	_
6	wants	_	V	V	_	0	_	_	_
7	me	_	O	O	_	6	_	_	_
8	i	_	O	O	_	9	_	_	_
9	feel	_	V	V	_	6	_	_	_
10	it	_	O	O	_	9	_	_	_
11	youll	_	L	L	_	0	_	_	_
12	get	_	V	V	_	11	_	_	_
13	more	_	A	A	_	12	_	_	_
14	my	_	D	D	_	15	_	_	_
15	nig	_	N	N	_	13	_	_	_
16	no	_	D	D	_	17	_	_	_
17	doubt	_	N	N	_	0	_	_	_"
1,*squak squak squak squak*me: bird shut up*squak*alex: that was an act of defiance ,"1	*	_	,	,	_	-1	_	_	_
2	squak	_	V	V	_	3	_	_	_
3	squak	_	N	N	_	4	_	_	_
4	squak	_	V	V	_	0	_	_	_
5	squak*me	_	O	O	_	4	_	_	_
6	:	_	,	,	_	-1	_	_	_
7	bird	_	N	N	_	8	_	_	_
8	shut	_	V	V	_	0	_	_	_
9	up*squak*alex	_	T	T	_	8	MWE	_	_
10	:	_	,	,	_	-1	_	_	_
11	that	_	O	O	_	12	_	_	_
12	was	_	V	V	_	0	_	_	_
13	an	_	D	D	_	14	_	_	_
14	act	_	N	N	_	12	_	_	_
15	of	_	P	P	_	14	_	_	_
16	defiance	_	N	N	_	15	_	_	_"
1,he's bitch keep looking at meshe choosing or nah?,"1	he's	_	L	L	_	0	_	_	_
2	bitch	_	N	N	_	3	_	_	_
3	keep	_	V	V	_	1	_	_	_
4	looking	_	V	V	_	3	_	_	_
5	at	_	P	P	_	4	_	_	_
6	meshe	_	^	^	_	5	_	_	_
7	choosing	_	V	V	_	8	CONJ	_	_
8	or	_	&	&	_	1	_	_	_
9	nah	_	!	!	_	0	_	_	_
10	?	_	,	,	_	-1	_	_	_"
-1,cute ass niggah. ,"1	cute	_	A	A	_	3	_	_	_
2	ass	_	N	N	_	3	_	_	_
3	niggah	_	N	N	_	0	_	_	_
4	.	_	,	,	_	-1	_	_	_"
1,pull up on my x make that bitch mad,"1	pull	_	V	V	_	0	_	_	_
2	up	_	T	T	_	1	MWE	_	_
3	on	_	P	P	_	1	_	_	_
4	my	_	D	D	_	5	_	_	_
5	x	_	N	N	_	3	_	_	_
6	make	_	V	V	_	3	_	_	_
7	that	_	D	D	_	8	_	_	_
8	bitch	_	N	N	_	6	_	_	_
9	mad	_	A	A	_	6	_	_	_"
-1,  green azz niggas ; yall new bitches condone dat sucka activity dat why they keep doin it,"1	green	_	A	A	_	3	_	_	_
2	azz	_	N	N	_	3	_	_	_
3	niggas	_	N	N	_	0	_	_	_
4	;	_	,	,	_	-1	_	_	_
5	yall	_	O	O	_	6	_	_	_
6	new	_	A	A	_	7	_	_	_
7	bitches	_	N	N	_	8	_	_	_
8	condone	_	V	V	_	0	_	_	_
9	dat	_	D	D	_	11	_	_	_
10	sucka	_	N	N	_	11	_	_	_
11	activity	_	N	N	_	8	_	_	_
12	dat	_	O	O	_	8	_	_	_
13	why	_	R	R	_	15	_	_	_
14	they	_	O	O	_	15	_	_	_
15	keep	_	V	V	_	12	_	_	_
16	doin	_	V	V	_	15	_	_	_
17	it	_	O	O	_	16	_	_	_"
1, you see me texting you bitch,"1	you	_	O	O	_	2	_	_	_
2	see	_	V	V	_	0	_	_	_
3	me	_	O	O	_	2	_	_	_
4	texting	_	V	V	_	2	_	_	_
5	you	_	O	O	_	4	_	_	_
6	bitch	_	N	N	_	0	_	_	_"
-1,  you have a redneck attitude. the same people that think benghazzi is real think fox fake nws is real. your one,"1	you	_	O	O	_	2	_	_	_
2	have	_	V	V	_	0	_	_	_
3	a	_	D	D	_	5	_	_	_
4	redneck	_	N	N	_	5	_	_	_
5	attitude	_	N	N	_	2	_	_	_
6	.	_	,	,	_	-1	_	_	_
7	the	_	D	D	_	9	_	_	_
8	same	_	A	A	_	9	_	_	_
9	people	_	N	N	_	2	_	_	_
10	that	_	P	P	_	11	_	_	_
11	think	_	V	V	_	9	_	_	_
12	benghazzi	_	^	^	_	13	_	_	_
13	is	_	V	V	_	11	_	_	_
14	real	_	A	A	_	15	_	_	_
15	think	_	N	N	_	13	_	_	_
16	fox	_	N	N	_	13	_	_	_
17	fake	_	A	A	_	18	_	_	_
18	nws	_	^	^	_	19	_	_	_
19	is	_	V	V	_	0	_	_	_
20	real	_	A	A	_	19	_	_	_
21	.	_	,	,	_	-1	_	_	_
22	your	_	D	D	_	23	_	_	_
23	one	_	$	$	_	0	_	_	_"
-1,phillip rivers look like he almost wants to call dude a nigger for that bad play,"1	phillip	_	^	^	_	2	MWE	_	_
2	rivers	_	^	^	_	3	_	_	_
3	look	_	V	V	_	0	_	_	_
4	like	_	P	P	_	3	_	_	_
5	he	_	O	O	_	7	_	_	_
6	almost	_	R	R	_	7	_	_	_
7	wants	_	V	V	_	4	_	_	_
8	to	_	P	P	_	7	_	_	_
9	call	_	V	V	_	8	_	_	_
10	dude	_	N	N	_	9	_	_	_
11	a	_	D	D	_	12	_	_	_
12	nigger	_	N	N	_	9	_	_	_
13	for	_	P	P	_	9	_	_	_
14	that	_	D	D	_	16	_	_	_
15	bad	_	A	A	_	16	_	_	_
16	play	_	N	N	_	13	_	_	_"
-1,;when they say him they mean dyke ron wcw ,"1	;	_	,	,	_	-1	_	_	_
2	when	_	R	R	_	4	_	_	_
3	they	_	O	O	_	4	_	_	_
4	say	_	V	V	_	0	_	_	_
5	him	_	O	O	_	4	_	_	_
6	they	_	O	O	_	7	_	_	_
7	mean	_	V	V	_	4	_	_	_
8	dyke	_	N	N	_	10	_	_	_
9	ron	_	^	^	_	10	MWE	_	_
10	wcw	_	^	^	_	7	_	_	_"
1,i'm so raw is problem the best song tyga will have anything after that is trash,"1	i'm	_	L	L	_	0	_	_	_
2	so	_	R	R	_	3	_	_	_
3	raw	_	A	A	_	4	_	_	_
4	is	_	V	V	_	1	_	_	_
5	problem	_	N	N	_	4	_	_	_
6	the	_	D	D	_	8	_	_	_
7	best	_	A	A	_	8	_	_	_
8	song	_	N	N	_	5	_	_	_
9	tyga	_	^	^	_	10	_	_	_
10	will	_	V	V	_	8	_	_	_
11	have	_	V	V	_	10	_	_	_
12	anything	_	N	N	_	11	_	_	_
13	after	_	P	P	_	11	_	_	_
14	that	_	O	O	_	15	_	_	_
15	is	_	V	V	_	13	_	_	_
16	trash	_	N	N	_	15	_	_	_"
1, ur ex girlfriend is a slut fr f dat hoe,"1	ur	_	D	D	_	3	_	_	_
2	ex	_	N	N	_	3	_	_	_
3	girlfriend	_	N	N	_	4	_	_	_
4	is	_	V	V	_	0	_	_	_
5	a	_	D	D	_	6	_	_	_
6	slut	_	N	N	_	4	_	_	_
7	fr	_	P	P	_	4	_	_	_
8	f	_	G	G	_	7	_	_	_
9	dat	_	D	D	_	10	_	_	_
10	hoe	_	N	N	_	0	_	_	_"
1, they are all idiots except kourt.... the rest are just slutty ass bitches,"1	they	_	O	O	_	2	_	_	_
2	are	_	V	V	_	0	_	_	_
3	all	_	D	D	_	4	_	_	_
4	idiots	_	N	N	_	2	_	_	_
5	except	_	P	P	_	4	_	_	_
6	kourt	_	^	^	_	5	_	_	_
7	....	_	,	,	_	-1	_	_	_
8	the	_	D	D	_	9	_	_	_
9	rest	_	N	N	_	10	_	_	_
10	are	_	V	V	_	0	_	_	_
11	just	_	R	R	_	12	_	_	_
12	slutty	_	A	A	_	14	_	_	_
13	ass	_	N	N	_	14	_	_	_
14	bitches	_	N	N	_	10	_	_	_"
-1,niggas be in they feelings when they find out their hoe fuckin another nigga stopsavinthesehoes,"1	niggas	_	N	N	_	2	_	_	_
2	be	_	V	V	_	0	_	_	_
3	in	_	P	P	_	2	_	_	_
4	they	_	D	D	_	5	_	_	_
5	feelings	_	N	N	_	3	_	_	_
6	when	_	R	R	_	2	_	_	_
7	they	_	O	O	_	8	_	_	_
8	find	_	V	V	_	6	_	_	_
9	out	_	T	T	_	8	MWE	_	_
10	their	_	D	D	_	11	_	_	_
11	hoe	_	N	N	_	12	_	_	_
12	fuckin	_	V	V	_	6	_	_	_
13	another	_	D	D	_	15	_	_	_
14	nigga	_	N	N	_	15	_	_	_
15	stopsavinthesehoes	_	N	N	_	12	_	_	_"
1,we use to sneak up on them cats back in wood hollow and ceelo ranch and toss they ass in the pool lil bitches,"1	we	_	O	O	_	2	_	_	_
2	use	_	V	V	_	0	_	_	_
3	to	_	P	P	_	2	_	_	_
4	sneak	_	V	V	_	16	CONJ	_	_
5	up	_	T	T	_	4	MWE	_	_
6	on	_	P	P	_	4	_	_	_
7	them	_	D	D	_	8	_	_	_
8	cats	_	N	N	_	6	_	_	_
9	back	_	R	R	_	4	_	_	_
10	in	_	P	P	_	4	_	_	_
11	wood	_	N	N	_	12	_	_	_
12	hollow	_	N	N	_	13	CONJ	_	_
13	and	_	&	&	_	10	_	_	_
14	ceelo	_	^	^	_	15	_	_	_
15	ranch	_	N	N	_	13	CONJ	_	_
16	and	_	&	&	_	3	_	_	_
17	toss	_	V	V	_	16	CONJ	_	_
18	they	_	D	D	_	19	_	_	_
19	ass	_	N	N	_	17	_	_	_
20	in	_	P	P	_	17	_	_	_
21	the	_	D	D	_	22	_	_	_
22	pool	_	N	N	_	20	_	_	_
23	lil	_	A	A	_	24	_	_	_
24	bitches	_	N	N	_	20	_	_	_"
-1, happy birthday faggot.,"1	happy	_	A	A	_	3	_	_	_
2	birthday	_	N	N	_	3	_	_	_
3	faggot	_	N	N	_	0	_	_	_
4	.	_	,	,	_	-1	_	_	_"
1,top 5 stankiest pussies,"1	top	_	A	A	_	4	_	_	_
2	5	_	$	$	_	3	_	_	_
3	stankiest	_	A	A	_	4	_	_	_
4	pussies	_	N	N	_	0	_	_	_"
1,  lightskin bitches crying they ain't got no valentine. bitch maybe you should've read some of them 400 unreads msgs. yo,"1	lightskin	_	A	A	_	2	_	_	_
2	bitches	_	N	N	_	3	_	_	_
3	crying	_	V	V	_	0	_	_	_
4	they	_	O	O	_	5	_	_	_
5	ain't	_	V	V	_	3	_	_	_
6	got	_	V	V	_	5	_	_	_
7	no	_	D	D	_	8	_	_	_
8	valentine	_	N	N	_	6	_	_	_
9	.	_	,	,	_	-1	_	_	_
10	bitch	_	N	N	_	0	_	_	_
11	maybe	_	R	R	_	10	_	_	_
12	you	_	O	O	_	13	_	_	_
13	should've	_	V	V	_	11	_	_	_
